t0: (100, 100) - > (-50, -50), speed = 19, height = 0
t96: (121, 427) - > (112, 451), speed = 25, height = 4
t97: (112, 451) - > (103, 465), speed = 27, height = 0
t98: (103, 465) - > (95, 445), speed = 22, height = 5
t99: (95, 445) - > (88, 429), speed = 17, height = 6
t100: (88, 429) - > (80, 419), speed = 13, height = 7
t101: (80, 419) - > (72, 413), speed = 10, height = 7
t102: (72, 413) - > (64, 412), speed = 8, height = 7
t103: (64, 412) - > (56, 416), speed = 9, height = 7
t104: (56, 416) - > (50, 425), speed = 11, height = 6
t105: (50, 425) - > (58, 438), speed = 15, height = 5
t106: (58, 438) - > (66, 456), speed = 20, height = 3
t107: (66, 456) - > (74, 465), speed = 22, height = 0
t108: (74, 465) - > (81, 449), speed = 17, height = 4
t109: (81, 449) - > (88, 439), speed = 13, height = 5
t110: (88, 439) - > (95, 433), speed = 9, height = 6
t111: (95, 433) - > (103, 432), speed = 7, height = 6
t112: (103, 432) - > (110, 436), speed = 8, height = 5
t113: (110, 436) - > (117, 445), speed = 11, height = 5
t114: (117, 445) - > (124, 458), speed = 16, height = 3
t115: (124, 458) - > (131, 465), speed = 18, height = 0
t116: (131, 465) - > (138, 453), speed = 14, height = 3
t117: (138, 453) - > (144, 446), speed = 10, height = 4
t118: (144, 446) - > (151, 444), speed = 7, height = 5
t119: (151, 444) - > (157, 447), speed = 7, height = 4
t120: (157, 447) - > (164, 454), speed = 10, height = 3
t121: (164, 454) - > (170, 465), speed = 13, height = 0
t122: (170, 465) - > (176, 459), speed = 9, height = 3
t123: (176, 459) - > (182, 457), speed = 6, height = 3
t124: (182, 457) - > (187, 460), speed = 7, height = 2
t125: (187, 460) - > (193, 465), speed = 9, height = 0
t126: (193, 465) - > (199, 462), speed = 6, height = 2
t127: (199, 462) - > (204, 465), speed = 6, height = 0
t128: (204, 465) - > (209, 465), speed = 8, height = 0
t129: (209, 465) - > (214, 463), speed = 5, height = 1
t130: (214, 463) - > (218, 465), speed = 5, height = 0
t131: (218, 465) - > (223, 465), speed = 4, height = 0
t132: (223, 465) - > (226, 465), speed = 4, height = 0
t133: (226, 465) - > (230, 465), speed = 4, height = 0
t134: (230, 465) - > (233, 465), speed = 4, height = 0
t135: (233, 465) - > (236, 465), speed = 3, height = 0
t136: (236, 465) - > (238, 465), speed = 3, height = 0
t137: (238, 465) - > (241, 465), speed = 3, height = 0
t138: (241, 465) - > (243, 465), speed = 3, height = 0
t139: (243, 465) - > (244, 465), speed = 3, height = 0
t140: (244, 465) - > (246, 465), speed = 3, height = 0
t141: (246, 465) - > (247, 465), speed = 3, height = 0
t142: (247, 465) - > (249, 465), speed = 3, height = 0
t143: (249, 465) - > (250, 465), speed = 2, height = 0
t144: (250, 465) - > (251, 465), speed = 3, height = 0
t145: (251, 465) - > (252, 465), speed = 2, height = 0
t146: (252, 465) - > (253, 465), speed = 3, height = 0
t147: (253, 465) - > (254, 465), speed = 2, height = 0
t148: (254, 465) - > (254, 465), speed = 2, height = 0
